density,seed,delta_requested,delta_actual,transmitted,err_m,r_err,feat0_next,next_obs_present
5.0,2001,3.1349948203776004,3.200000000000003,1,1.2558959732984931,0.029060037951401774,0.008890819735825062,1
5.0,2001,0.1149305749710127,0.5,1,3.386881069308981,0.008986120942214286,0.06124426797032356,1
5.0,2001,0.2927849544854878,0.29999999999999716,1,0.020704836949335004,4.3163321595473967e-07,2.4381224648095667e-06,1
5.0,2001,3.119961175460216,3.200000000000003,1,24.804017401215177,1.4203538864727623,0.777733564376831,1
5.0,2001,0.534749292633043,0.5999999999999943,1,0.05141675302911608,5.472476952758575e-06,1.5035425349196885e-05,1
5.0,2001,1.1789783745639626,1.1999999999999886,1,0.06298112904539721,8.934478064428721e-06,2.255921754112933e-05,1
5.0,2001,8.734070838118479,8.799999999999997,1,0.0,0.0,0.0,1
5.0,2001,5.603976797498814,5.700000000000003,1,0.0157522392626106,2.398987532306171e-06,1.4112272310740082e-06,1
5.0,2001,0.4648813416269097,0.5,1,0.045885280885840984,3.347060596781101e-06,1.1974421795457602e-05,1
5.0,2001,0.7277453504429846,0.7999999999999972,1,0.0,0.0,0.0,1
5.0,2001,8.985118211943787,9.000000000000007,1,3.837082794459047,0.3121574939900888,0.07726655900478363,1
5.0,2001,3.806690646557224,3.8999999999999915,1,0.0,0.0,0.0,1
5.0,2001,7.0495962102488665,7.099999999999994,1,0.16669723125551172,0.00038388895172560255,0.00015801601693965495,1
5.0,2001,4.321025964341481,4.400000000000006,1,0.17683386295567516,0.0002661190904417555,0.00017781426140572876,1
5.0,2001,11.516876365109898,11.599999999999994,1,0.24890193635661717,0.001482698533322252,0.00035222203587181866,1
5.0,2001,24.57300732156749,11.199999999999996,0,0.0,0.0009808020464535426,nan,0
5.0,2001,10.143967440448332,10.399999999999999,1,0.12183802414085676,0.00044605854603376436,8.44193491502665e-05,1
5.0,2001,1.3635289434659401,1.3999999999999915,1,0.0797818939327044,2.2013013288397063e-05,3.6199777241563424e-05,1
5.0,2001,0.2187761961030923,0.29999999999999716,1,0.014924194693776371,1.4412336134927339e-07,1.2667596820392646e-06,1
5.0,2001,2.562341676046039,2.5999999999999943,1,3.8846235738439736,0.13045431563241536,0.0790407806634903,1
5.0,2001,0.41629306445820685,0.5,1,0.024346139002204836,1.1025527412535142e-06,3.371100319782272e-06,1
5.0,2001,2.0337529308015405,0.29999999999999716,0,0.0,1.0886993963368999e-07,nan,0
5.0,2001,1.2027902068971683,1.2999999999999972,1,0.11156269753206516,3.348809354769053e-05,7.078157796058804e-05,1
5.0,2001,0.8987319488436278,1.0,1,1.2997335539214419,0.009147889013647902,0.009516317397356033,1
5.0,2001,0.12091360171698526,0.20000000000000284,1,0.005281118128380058,1.6928950442278392e-08,1.586224414040771e-07,1
5.0,2001,2.703670097290856,2.8000000000000114,1,0.03506342595073875,5.389124986681375e-06,6.992276667006081e-06,1
5.0,2001,4.182805532339885,4.200000000000003,1,0.0,0.0,0.0,1
5.0,2001,0.36845042369921327,0.4000000000000057,1,1.339451076661561,0.004075709317089916,0.010100843384861946,1
5.0,2001,0.1744266861754926,0.20000000000000284,1,0.006581778083727841,5.335897564372276e-08,2.4637651563352847e-07,1
5.0,2001,14.039024230268081,14.099999999999994,1,12.604540844350709,2.6726079202842787,0.474674254655838,1
5.0,2001,1.0815949535654288,1.1000000000000085,1,0.027006482065161208,1.8208122611050686e-06,4.148080734012183e-06,1
5.0,2001,1.305319850754025,1.4000000000000057,1,0.0,0.0,0.0,1
5.0,2001,0.16150265428747157,0.20000000000000284,1,0.0,0.0,0.0,1
5.0,2001,0.1057113249319171,0.19999999999998863,1,0.0,0.0,0.0,1
5.0,2001,0.9581121187726525,1.0,1,0.03952454351528445,3.260017592372571e-06,8.884700946509838e-06,1
5.0,2001,14.031538912140329,14.099999999999994,0,0.0,0.011877774104036669,nan,0
5.0,2001,19.8175757118644,16.700000000000003,0,0.0,0.004862926031223667,nan,0
5.0,2001,17.14726028237093,17.200000000000003,1,10.974185100422801,2.6805583038404737,0.4065098166465759,1
5.0,2001,12.970790225713115,13.0,1,2.061083582469678,0.09716673657669729,0.0235904473811388,1
5.0,2001,15.878015736132678,15.800000000000004,0,0.0,0.01974664459255412,nan,0
5.0,2001,4.992536092061022,5.0,1,0.34303680752873333,0.0012832446348535632,0.0006688116700388491,1
5.0,2001,0.6420407214780917,0.7000000000000028,1,0.0,0.0,0.0,1
