Time,VehicleID,X,Y,Z,State
115.0,V2,10175.2,6540.3,150.0,CRUISE
115.0,V3,12165.1,1796.4,200.0,CRUISE
115.0,V4,4507.3,16415.4,150.0,CRUISE
116.0,V1,9900.8,7016.9,150.0,CRUISE
116.0,V2,10150.3,6583.6,150.0,CRUISE
116.0,V3,12213.1,1810.5,200.0,CRUISE
116.0,V4,4532.6,16372.3,150.0,CRUISE
117.0,V1,9875.9,7060.3,150.0,CRUISE
117.0,V2,10125.3,6627.0,150.0,CRUISE
117.0,V3,12261.0,1824.6,200.0,CRUISE
117.0,V4,4558.0,16329.2,150.0,CRUISE
118.0,V1,9850.9,7103.6,150.0,CRUISE
118.0,V2,10100.4,6670.3,150.0,CRUISE
118.0,V3,12309.0,1838.7,200.0,CRUISE
118.0,V4,4583.4,16286.2,150.0,CRUISE
119.0,V1,9826.0,7146.9,150.0,CRUISE
119.0,V2,10075.4,6713.6,150.0,CRUISE
119.0,V3,12357.0,1852.8,200.0,CRUISE
119.0,V4,4608.8,16243.1,150.0,CRUISE
120.0,V1,9801.0,7190.3,150.0,CRUISE
120.0,V2,10050.5,6757.0,150.0,CRUISE
120.0,V3,12404.9,1866.9,200.0,CRUISE
120.0,V4,4634.2,16200.0,150.0,CRUISE
121.0,V1,9776.1,7233.6,150.0,CRUISE
121.0,V2,10025.5,6800.3,150.0,CRUISE
121.0,V3,12452.9,1881.0,200.0,CRUISE
121.0,V4,4659.6,16156.9,150.0,CRUISE
122.0,V1,9751.1,7276.9,150.0,CRUISE
122.0,V2,10000.6,6843.6,150.0,CRUISE
122.0,V3,12500.9,1895.1,200.0,CRUISE
122.0,V4,4685.0,16113.9,150.0,CRUISE
123.0,V1,9726.2,7320.3,150.0,CRUISE
123.0,V2,9975.7,6887.0,150.0,CRUISE
123.0,V3,12548.8,1909.2,200.0,CRUISE
123.0,V4,4710.4,16070.8,150.0,CRUISE
124.0,V1,9701.2,7363.6,150.0,CRUISE
124.0,V2,9950.7,6930.3,150.0,CRUISE
124.0,V3,12596.8,1923.4,200.0,CRUISE
124.0,V4,4735.8,16027.7,150.0,CRUISE
125.0,V1,9676.3,7406.9,150.0,CRUISE
125.0,V2,9925.8,6973.6,150.0,CRUISE
125.0,V3,12644.8,1937.5,200.0,CRUISE
125.0,V4,4761.2,15984.6,150.0,CRUISE
126.0,V1,9651.3,7450.3,150.0,CRUISE
126.0,V2,9900.8,7016.9,150.0,CRUISE
126.0,V3,12692.7,1951.6,200.0,CRUISE
126.0,V4,4786.5,15941.6,150.0,CRUISE
127.0,V1,9626.4,7493.6,150.0,CRUISE
127.0,V2,9875.9,7060.3,150.0,CRUISE
127.0,V3,12740.7,1965.7,200.0,CRUISE
127.0,V4,4811.9,15898.5,150.0,CRUISE
128.0,V1,9601.5,7536.9,150.0,CRUISE
128.0,V2,9850.9,7103.6,150.0,CRUISE
128.0,V3,12788.7,1979.8,200.0,CRUISE
128.0,V4,4837.3,15855.4,150.0,CRUISE
129.0,V1,9576.5,7580.3,150.0,CRUISE
129.0,V2,9826.0,7146.9,150.0,CRUISE
129.0,V3,12836.6,1993.9,200.0,CRUISE
129.0,V4,4862.7,15812.3,150.0,CRUISE
