vid,reward,delta_actual,interval_steps,done,transmitted,r_err,r_power,cbr,i_redundant,error,term_err,term_pow,term_cong,term_red,bucket
F18_9.0,-0.24879647582307585,0.8000000000000043,8,False,True,0.006609182537535773,0.7184994227715398,0.00896,1.0,1.234754764950594,0.0033045912687678864,0.14369988455430796,0.001792,0.1,"[0.5, 2.0)"
F19_18.3,-0.1123987016933308,1.0,10,False,True,0.0065242235841779005,0.04120294950620922,0.00448,1.0,1.1244051922467406,0.0032621117920889502,0.008240589901241845,0.000896,0.1,"[0.5, 2.0)"
F19_18.0,-0.19569845389871188,0.19999999999999574,2,False,True,3.047342505245521e-06,0.47400465113729623,0.00448,1.0,0.06260835599732673,1.5236712526227605e-06,0.09480093022745925,0.000896,0.1,"[0.1, 0.5)"
F19_12.1,-0.29729786486810283,12.100000000000001,121,False,True,0.005683731768137021,0.9677999949201713,0.00448,1.0,0.7911484919195573,0.0028418658840685105,0.19355999898403428,0.000896,0.1,"[10.0, 45.1)"
F18_5.1,-0.26479735729779863,6.900000000000006,69,False,True,0.23117296363133175,0.7415743774106637,0.00448,0.0,8.94712423906958,0.11558648181566587,0.14831487548213274,0.000896,0.0,"[2.0, 10.0)"
F19_5.0,-0.46072815736240624,4.200000000000003,42,False,True,0.5702027851646755,0.8736538239003425,0.00448,0.0,12.305665259330908,0.28510139258233774,0.17473076478006852,0.000896,0.0,"[2.0, 10.0)"
F18_7.0,-0.16572318255943963,0.6999999999999957,7,False,True,0.008586100863447573,0.3026706606385793,0.00448,1.0,1.4960171466273096,0.004293050431723787,0.060534132127715856,0.000896,0.1,"[0.5, 2.0)"
F19_18.3,-0.18620335866691068,0.29999999999999716,3,False,True,5.879162100269168e-07,0.42653532354402823,0.00448,1.0,0.024224396234785672,2.939581050134584e-07,0.08530706470880565,0.000896,0.1,"[0.1, 0.5)"
F18_8.0,-0.17601287472081417,2.6999999999999957,27,False,True,2.1806666734260972e-06,0.37557892193738734,0.00448,1.0,0.017660312621046614,1.0903333367130486e-06,0.07511578438747747,0.000896,0.1,"[2.0, 10.0)"
F19_18.3,-0.11312734376187862,0.20000000000000284,2,False,True,2.2490537078852394e-07,0.061156156545966095,0.00448,1.0,0.015908731101262674,1.1245268539426197e-07,0.01223123130919322,0.000896,0.1,"[0.1, 0.5)"
F18_7.0,-0.21219102374622834,0.30000000000000426,3,False,True,2.044606815383068e-07,0.5564746075794378,0.00448,1.0,0.012541433899968979,1.022303407691534e-07,0.11129492151588756,0.000896,0.1,"[0.1, 0.5)"
F19_12.1,-0.2851470387659004,0.6999999999999957,7,False,True,0.0006265397591568682,0.9196888444316099,0.00448,1.0,0.7008989024507173,0.0003132698795784341,0.183937768886322,0.000896,0.1,"[0.5, 2.0)"
F18_8.0,-0.17492391553604433,0.6000000000000014,6,False,True,0.0327403234667485,0.7882887690133503,0.00448,0.0,3.2000528586252783,0.01637016173337425,0.15765775380267008,0.000896,0.0,"[0.5, 2.0)"
F19_12.1,-0.17261136475024705,0.29999999999999716,3,False,True,2.2576696678529996e-05,0.35852038200953895,0.00448,1.0,0.16404765021434287,1.1288348339264998e-05,0.07170407640190779,0.000896,0.1,"[0.1, 0.5)"
F18_9.1,-0.28232003201234834,0.19999999999999574,2,False,True,0.0016437810083257602,0.9030107075409272,0.00448,1.0,1.2119630672386847,0.0008218905041628801,0.18060214150818543,0.000896,0.1,"[0.1, 0.5)"
F18_10.0,-0.287654321408585,1.8999999999999986,19,False,True,1.5011055808645414e-05,0.9337540794034032,0.00448,1.0,0.05479551631833601,7.505527904322707e-06,0.18675081588068065,0.000896,0.1,"[0.5, 2.0)"
F18_9.1,-0.17650243971783341,0.20000000000000284,2,False,True,9.37099477575279e-08,0.37803196431429764,0.00448,1.0,0.010112724508871906,4.685497387876395e-08,0.07560639286285953,0.000896,0.1,"[0.1, 0.5)"
