[run_scenario] Resume: 4331 runs already in /home/imnyj/papers/paper3/paper/experiment/data/A_full.csv; will skip those.
  [4455/6400] d=4 eps=10 g=3.0 tau=5 algo=V2I-Base    seed=46 | CHR=0.438 AoI=0.034 | run=125.1s tot=15806s eta=4132m
  [4456/6400] d=4 eps=10 g=3.0 tau=5 algo=V2I-Base    seed=47 | CHR=0.438 AoI=0.034 | run=124.7s tot=15931s eta=4129m
  [4457/6400] d=4 eps=10 g=3.0 tau=5 algo=V2I-Base    seed=48 | CHR=0.438 AoI=0.034 | run=128.8s tot=16060s eta=4127m
  [4458/6400] d=4 eps=10 g=3.0 tau=5 algo=V2I-Base    seed=49 | CHR=0.439 AoI=0.034 | run=123.9s tot=16184s eta=4124m
  [4459/6400] d=4 eps=10 g=3.0 tau=5 algo=V2I-Base    seed=50 | CHR=0.438 AoI=0.034 | run=126.8s tot=16310s eta=4122m
  [4460/6400] d=4 eps=10 g=3.0 tau=5 algo=V2I-Base    seed=51 | CHR=0.438 AoI=0.034 | run=123.4s tot=16434s eta=4119m
  [4461/6400] d=4 eps=10 g=3.0 tau=5 algo=V2V-Base    seed=42 | CHR=0.998 AoI=0.000 | run=101.7s tot=16535s eta=4111m
  [4462/6400] d=4 eps=10 g=3.0 tau=5 algo=V2V-Base    seed=43 | CHR=0.998 AoI=0.000 | run=101.6s tot=16637s eta=4102m
  [4463/6400] d=4 eps=10 g=3.0 tau=5 algo=V2V-Base    seed=44 | CHR=0.998 AoI=0.000 | run=103.6s tot=16741s eta=4094m
  [4464/6400] d=4 eps=10 g=3.0 tau=5 algo=V2V-Base    seed=45 | CHR=0.998 AoI=0.000 | run=103.4s tot=16844s eta=4086m
  [4465/6400] d=4 eps=10 g=3.0 tau=5 algo=V2V-Base    seed=46 | CHR=0.998 AoI=0.000 | run=102.0s tot=16946s eta=4078m
  [4466/6400] d=4 eps=10 g=3.0 tau=5 algo=V2V-Base    seed=47 | CHR=0.998 AoI=0.000 | run=102.0s tot=17048s eta=4070m
  [4467/6400] d=4 eps=10 g=3.0 tau=5 algo=V2V-Base    seed=48 | CHR=0.998 AoI=0.000 | run=104.0s tot=17152s eta=4063m
  [4468/6400] d=4 eps=10 g=3.0 tau=5 algo=V2V-Base    seed=49 | CHR=0.998 AoI=0.000 | run=100.8s tot=17253s eta=4055m
  [4469/6400] d=4 eps=10 g=3.0 tau=5 algo=V2V-Base    seed=50 | CHR=0.998 AoI=0.000 | run=102.1s tot=17355s eta=4047m
  [4470/6400] d=4 eps=10 g=3.0 tau=5 algo=V2V-Base    seed=51 | CHR=0.998 AoI=0.000 | run=100.3s tot=17455s eta=4039m
  [4471/6400] d=4 eps=10 g=3.0 tau=5 algo=Random-K    seed=42 | CHR=0.998 AoI=0.000 | run=97.7s tot=17553s eta=4031m
  [4472/6400] d=4 eps=10 g=3.0 tau=5 algo=Random-K    seed=43 | CHR=0.998 AoI=0.000 | run=98.0s tot=17651s eta=4023m
  [4473/6400] d=4 eps=10 g=3.0 tau=5 algo=Random-K    seed=44 | CHR=0.998 AoI=0.000 | run=98.8s tot=17750s eta=4015m
  [4474/6400] d=4 eps=10 g=3.0 tau=5 algo=Random-K    seed=45 | CHR=0.998 AoI=0.000 | run=99.4s tot=17849s eta=4007m
  [4475/6400] d=4 eps=10 g=3.0 tau=5 algo=Random-K    seed=46 | CHR=0.998 AoI=0.000 | run=97.7s tot=17947s eta=3999m
  [4476/6400] d=4 eps=10 g=3.0 tau=5 algo=Random-K    seed=47 | CHR=0.998 AoI=0.000 | run=98.2s tot=18045s eta=3991m
  [4477/6400] d=4 eps=10 g=3.0 tau=5 algo=Random-K    seed=48 | CHR=0.998 AoI=0.000 | run=99.7s tot=18145s eta=3983m
  [4478/6400] d=4 eps=10 g=3.0 tau=5 algo=Random-K    seed=49 | CHR=0.998 AoI=0.000 | run=96.5s tot=18241s eta=3975m
  [4479/6400] d=4 eps=10 g=3.0 tau=5 algo=Random-K    seed=50 | CHR=0.998 AoI=0.000 | run=97.6s tot=18339s eta=3967m
  [4480/6400] d=4 eps=10 g=3.0 tau=5 algo=Random-K    seed=51 | CHR=0.998 AoI=0.000 | run=96.4s tot=18435s eta=3959m
  [4481/6400] d=4 eps=20 g=0.0 tau=5 algo=RILP        seed=42 | CHR=0.438 AoI=0.034 | run=128.1s tot=18563s eta=3958m
  [4482/6400] d=4 eps=20 g=0.0 tau=5 algo=RILP        seed=43 | CHR=0.438 AoI=0.034 | run=127.8s tot=18691s eta=3957m
  [4483/6400] d=4 eps=20 g=0.0 tau=5 algo=RILP        seed=44 | CHR=0.438 AoI=0.034 | run=130.8s tot=18822s eta=3956m
[HEARTBEAT] 2026-05-18 17:31:48 | 경과=5h 13m 41s | 진행=4483/6400 (70.0%) | 평균=123.8s/run | ETA=65h 56m | 최근완료: algo=RILP d=4 eps=20 g=0.0 tau=5 seed=44
  [4484/6400] d=4 eps=20 g=0.0 tau=5 algo=RILP        seed=45 | CHR=0.438 AoI=0.034 | run=130.3s tot=18952s eta=3956m
  [4485/6400] d=4 eps=20 g=0.0 tau=5 algo=RILP        seed=46 | CHR=0.438 AoI=0.034 | run=128.2s tot=19081s eta=3954m
  [4486/6400] d=4 eps=20 g=0.0 tau=5 algo=RILP        seed=47 | CHR=0.438 AoI=0.034 | run=127.8s tot=19208s eta=3953m
  [4487/6400] d=4 eps=20 g=0.0 tau=5 algo=RILP        seed=48 | CHR=0.438 AoI=0.034 | run=131.9s tot=19340s eta=3953m
  [4488/6400] d=4 eps=20 g=0.0 tau=5 algo=RILP        seed=49 | CHR=0.439 AoI=0.034 | run=126.4s tot=19467s eta=3951m
  [4489/6400] d=4 eps=20 g=0.0 tau=5 algo=RILP        seed=50 | CHR=0.438 AoI=0.034 | run=129.2s tot=19596s eta=3950m
  [4490/6400] d=4 eps=20 g=0.0 tau=5 algo=RILP        seed=51 | CHR=0.438 AoI=0.034 | run=126.3s tot=19722s eta=3949m
