Model,Round,delay,traffic,cache_hit
TabPFN,25,0.44422,63.264,0.8632182880857577
TabPFN,26,0.38127000000000005,57.626,0.8746543051416067
TabPFN,27,0.3759,61.574,0.8781849947010385
TabPFN,28,0.46662,65.104,0.8652761566674184
TabPFN,29,0.4108,61.26,0.8713033327975273
TabPFN,30,0.43195,66.97,0.8611054556578369
TabPFN,31,0.34611940298507465,55.75576662143826,0.8768037810361518
TabR,0,0.6670600000000001,61.774,0.7624184345219464
TabR,1,0.6286900000000001,59.48,0.7713985469882332
TabR,2,0.67992,65.792,0.7599700303046711
TabR,3,0.6704600000000001,60.144,0.7698191202402936
TabR,4,0.6793899999999999,65.142,0.7588053896566109
TabR,5,0.59777,62.956,0.7750910657060796
TabR,6,0.67461,58.352,0.7653496823106378
TabR,7,0.6302300000000001,61.502,0.7714838978505993
TabR,8,0.6393000000000001,63.01,0.7665896482733027
TabR,9,0.67557,63.138,0.7611287352395103
TabR,10,0.6626599999999999,63.788,0.7628796603640755
TabR,11,0.67016,60.506,0.7692419555573108
TabR,12,0.6346499999999999,63.516,0.7702333710204445
TabR,13,0.62111,57.45,0.7714619696171071
TabR,14,0.63986,61.668,0.768284390306561
TabR,15,0.71048,64.558,0.7565677046039608
TabR,16,0.65513,65.032,0.7687013722237261
TabR,17,0.65388,59.09,0.7727076238501583
TabR,18,0.7257100000000001,73.062,0.7515721753181396
TabR,19,0.6510900000000001,63.5,0.7698420892260561
TabR,20,0.6240399999999999,59.512,0.7659125721907151
TabR,21,0.70036,63.428,0.7493844131508707
TabR,22,0.65204,65.88,0.7638194352929104
TabR,23,0.676,64.584,0.7738829850549748
TabR,24,0.64546,63.226,0.765295967482801
TabR,25,0.69862,68.37,0.7582431151344922
TabR,26,0.59394,60.082,0.7844995648108275
TabR,27,0.61221,58.94,0.7721452969434707
TabR,28,0.71794,68.728,0.758169430095098
TabR,29,0.6925500000000001,62.644,0.7619891603874452
TabR,30,0.63528,62.368,0.7754170408119895
TabR,31,0.6117503392130258,60.27137042062415,0.7701923320691924
XGB,0,0.63722,62.098,0.7945985198064941
XGB,1,0.6358400000000001,60.372,0.79059948170536
XGB,2,0.66687,63.916,0.7801301754285889
XGB,3,0.70314,65.626,0.783387905768633
XGB,4,0.6697799999999999,65.466,0.7790580289241401
XGB,5,0.6118899999999999,62.152,0.7944131174328661
XGB,6,0.67567,58.566,0.7888179955220775
XGB,7,0.6487200000000001,65.36,0.7919693529430415
XGB,8,0.6459300000000001,65.374,0.789539038133112
XGB,9,0.6489199999999999,65.188,0.7893272257754348
XGB,10,0.6556900000000001,65.678,0.7884247641030969
XGB,11,0.68988,62.968,0.78688654919216
XGB,12,0.6289,62.862,0.7938929972195776
XGB,13,0.59189,56.976,0.8008838408376662
XGB,14,0.63316,62.756,0.790759787048455
XGB,15,0.68751,63.516,0.7803484106412393
XGB,16,0.67913,65.836,0.7875284505694615
XGB,17,0.6715399999999999,63.21,0.7902560943130705
XGB,18,0.70345,70.082,0.7808240232726983
XGB,19,0.65164,63.124,0.7923461721952388
XGB,20,0.6266900000000001,61.34,0.7906140455881793
XGB,21,0.6662899999999999,65.314,0.7816832825683362
XGB,22,0.6669400000000001,65.82,0.7802217159353152
XGB,23,0.70205,66.642,0.7909326576226303
XGB,24,0.65374,63.276,0.7846381331201284
XGB,25,0.70636,68.392,0.7816824513964387
XGB,26,0.62454,60.012,0.7966137844108201
XGB,27,0.6291100000000001,63.85,0.7962167467460407
XGB,28,0.72499,70.518,0.7808849397146836
XGB,29,0.68398,64.512,0.7841002761718723
XGB,30,0.64556,64.118,0.7916515320943267
XGB,31,0.6005834464043419,61.80461329715061,0.7922316486979464
